Smith-Waterman - column based
1, 1.0
2, 1.9189811891860238
3, 2.904535696973894
4, 3.8033492076733637
5, 4.5748477392108615
6, 5.610330271204396
7, 6.392949898186873
8, 7.27307406867947
9, 7.923306509501681
10, 8.80652042461704
11, 9.878009721541881
12, 10.31507603926892
13, 11.270213859028017
14, 11.729785720358134
15, 12.665182674736426
16, 12.355091802193167

Nussinov - column based
1, 1.0
2, 1.1074415125631378
3, 1.3619721100095608
4, 1.7543324768231907
5, 2.075941057849851
6, 2.3765548254447295
7, 2.6422897094750635
8, 3.0966981316830524
9, 3.4021464103137857
10, 3.7138441592604425
11, 3.973174396574685
12, 4.353527455342394
13, 4.671496014606218
14, 4.887598911968349
15, 5.378829420288869
16, 5.823172842506868

Nussinov - block cyclic
1, 1.0
2, 1.8883315897832744
3, 2.8046144186393
4, 3.5031459359824186
5, 4.5275189692197575
6, 5.324887523909588
7, 6.074014320395809
8, 6.908218723240656
9, 7.524105902282115
10, 8.364177253891329
11, 8.98980170809166
12, 9.656721504098456
13, 10.334862307369534
14, 11.029426946009213
15, 11.703773663111896
16, 12.748716046794753
