Smith-Waterman - column cyclic
1, 104.861
2, 54.6441
3, 36.1025
4, 27.5707
5, 22.9212
6, 18.6907
7, 16.4026
8, 14.4177
9, 13.2345
10, 11.9072
11, 10.6156
12, 10.1658
13, 9.30426
14, 8.93972
15, 8.27947
16, 8.48727

Nussinov - column cyclic
1, 79.0618
2, 71.3914
3, 58.0495
4, 45.0666
5, 38.0848
6, 33.2674
7, 29.9217
8, 25.531
9, 23.2388
10, 21.2884
11, 19.8989
12, 18.1604
13, 16.9243
14, 16.176
15, 14.6987
16, 13.5771

Nussinov - block cyclic
1, 79.0618
2, 41.8686
3, 28.1899
4, 22.5688
5, 17.4625
6, 14.8476
7, 13.0164
8, 11.4446
9, 10.5078
10, 9.45243
11, 8.79461
12, 8.18723
13, 7.65001
14, 7.16826
15, 6.75524
16, 6.20155
